"Dataset_ID","Latitude","Longitude","Reconstruction","Simulation"
308,45.56,-70.68,0,0.0384615384615385
309,43.91667,-74.6833,0,0
311,54.36,-70.35,0,0
312,43.22,-81.73,0,0
314,44.95769,-93.5451,0,0
315,40.68056,-82.0625,0,0.166666666666667
316,38.15472,-79.6164,0.1,0.15
317,70.18109,28.40721,0.478260869565217,0.0869565217391304
318,44.29861,-110.261,0.392857142857143,0
321,40.79722,-82.9333,0.0666666666666667,0.0666666666666667
324,42.60379,-73.5618,0,0
328,33.5,-86.5333,0.142857142857143,0.0714285714285714
329,45.96111,-73.8681,0,0.0454545454545455
330,-17.5667,-65.9333,0.5,0
331,30.28,-84.99,0.16,0.12
332,46.67,-88.02,0,0.05
335,59.55,151.8333,0.4,0
336,45.95833,-73.8689,0,0.0434782608695652
337,47.63972,-71.2358,0,0
339,48.19778,-64.94,0.08,0.04
340,44.93672,-68.7734,0,0
341,55.66667,-63.25,0,0
342,44.15,7.694444,0.269230769230769,0.153846153846154
343,45.91806,-120.881,0.0833333333333333,0.0833333333333333
345,40.21,-84.68,0.444444444444444,0.444444444444444
346,46.61389,-72.9986,0,0.0476190476190476
350,-40,-72,0,0.04
351,-0.03333,-78.0333,0.545454545454545,0
352,45.41,-93.2,0.148148148148148,0.0740740740740741
354,61.97684,129.3779,0.333333333333333,0.037037037037037
355,-16.3667,-68.15,0.0714285714285714,0
356,-16.3667,-68.15,0.19047619047619,0
357,19.5,-99,0.0714285714285714,0.0357142857142857
361,45.65139,-60.675,0.875,0.625
363,53.41667,26.43333,0.259259259259259,0.111111111111111
364,43.18333,134.4333,0,0.142857142857143
365,60,66.5,0.0952380952380952,0
369,43.12389,-83.2411,0,0
374,49.61667,3.816667,0,0
375,40.67587,-88.3244,0.2,0.16
381,59.51667,-122.167,0.0555555555555556,0.111111111111111
488,-54.2,-71.233333,0.428571428571429,0.0952380952380952
489,43.12507,-93.4297,0.125,0
490,41.63854,-86.5446,0,0.107142857142857
492,33.7989,-78.9534,0.142857142857143,0.0476190476190476
493,50.87361,-107.933,0.4,0.0666666666666667
495,-16.25,-68.5,0,0
496,53.91,-66.78,0.2,0.0666666666666667
497,42.02,-93.27,0.242424242424242,0.0303030303030303
501,50.03417,-56.1964,0.521739130434783,0.173913043478261
506,38.87213,-107.083,0.09375,0.0625
507,67.83333,-115.317,0,0
509,-15.2167,-69.1,0,0
510,45.96083,-73.3419,0.272727272727273,0
513,44.83544,-99.9081,0.0555555555555556,0
514,38.82873,-106.411,0.315789473684211,0
516,44.1,-78.1,0,0.0689655172413793
517,36.52986,-112.149,0.0625,0
518,38.2,-80.2833,0.130434782608696,0.0869565217391304
519,49.19,-81.26,0.12,0.2
523,39.96667,-77.55,0.08,0.2
524,52.11667,-90.0833,0.5,0
525,51.65,-116.42,0,0.037037037037037
527,68.33,-146.46,0.12,0.08
530,46.47722,19.19083,0,0
531,50.26667,26.01667,0,0
532,44.72,-84.95,0,0
534,44.125,-111.183,0.583333333333333,0.166666666666667
535,-38.5833,-70.6667,1,0
536,-51.5833,-72.6333,0,0.166666666666667
