"Longitude","Latitude","Timeslice","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
37.5,87.1590957641602,0.1,-17.8796956837177,1262.85925207878,-3.96929514408111,-32.2810789744059,-1.64222824573517,-32.2810789744059,180.277966499329,26.9213218688965,8.60368824005127,36.5238165368996,69.378158569336,28.5912857055664,67.236951828003,28.5912857055664
41.25,87.1590957641602,0.1,-17.9519614676634,1266.0093647999,-4.01812326908111,-32.3891525268555,-1.67152512073517,-32.3891525268555,183.641230583191,27.6282653808594,8.61428451538086,37.0387098135923,70.8853187561035,28.7596950531006,68.6756153106689,28.7596950531006
45,87.1590957641602,0.1,-17.9415448009968,1263.5927484557,-4.03309722741445,-32.3520431518555,-1.69756678740183,-32.3520431518555,186.812449455261,28.2306747436523,8.6915225982666,37.3492807113206,72.19136428833,28.9864845275879,69.9647998809814,28.9864845275879
48.75,87.1590957641602,0.1,-17.9278727670511,1261.66824789356,-4.03765451908111,-32.3220945994059,-1.72100428740183,-32.3220945994059,189.763939857483,28.6674785614014,8.72767639160156,37.4553880641628,73.2567386627198,29.2016534805298,70.883638381958,29.2016534805298
52.5,87.1590957641602,0.1,-17.9174559414387,1259.9225050004,-4.04807118574778,-32.2921460469564,-1.73793137073517,-32.2921460469564,192.60057258606,28.9278755187988,8.78069400787354,37.3642337251282,74.1644916534423,29.4600353240967,71.5112934112548,29.4600353240967
56.25,87.1590957641602,0.1,-17.905086149772,1258.15712936924,-4.05718576908111,-32.2621981302897,-1.75160324573517,-32.2621981302897,195.184428215027,29.1296138763428,8.81952476501465,37.1845405392992,74.8211135864259,29.6146240234375,71.9941082000733,29.6146240234375
60,87.1590957641602,0.1,-17.893855681022,1256.90678000835,-4.05783681074778,-32.2387606302897,-1.76201991240183,-32.2387606302897,197.764183998108,29.1648101806641,8.89964771270752,36.7338975086472,75.3129768371582,29.9746713638306,72.1867103576661,29.9746713638306
63.75,87.1590957641602,0.1,-17.8805080552896,1256.000274308,-4.05523264408111,-32.2211825052897,-1.76722824573517,-32.2211825052897,200.434280395508,29.2937412261963,8.96558475494385,36.3667505321692,75.8113212585449,30.2479200363159,72.3738765716553,30.2479200363159
67.5,87.1590957641602,0.1,-17.8123114407062,1249.71693928348,-4.05848785241445,-32.0792554219564,-1.7782959540685,-32.0792554219564,202.668943405151,29.3500232696533,9.03880882263184,36.0159970468255,76.203649520874,30.479736328125,72.3475284576416,30.479736328125
71.25,87.1590957641602,0.1,-17.8048244615396,1249.36073095659,-4.05523264408111,-32.0707918802897,-1.7782959540685,-32.0707918802897,204.6596326828,29.21555519104,9.12252426147461,35.5022031462606,76.2723121643066,30.7453527450562,72.0399494171143,30.7453527450562
75,87.1590957641602,0.1,-17.7940822740396,1248.87543212511,-4.04937326908111,-32.054515838623,-1.7763428290685,-32.054515838623,206.582409858703,29.1690578460693,9.18469429016113,35.1363052421384,76.5388393402099,30.9763669967651,71.7754383087158,30.9763669967651
78.75,87.1590957641602,0.1,-17.7905015448729,1248.83384126023,-4.04742014408111,-32.0597241719564,-1.7724365790685,-32.0597241719564,208.040568351746,29.0502223968506,9.21951198577881,34.739262266877,76.4775047302246,31.1605005264282,71.2939167022705,31.1605005264282
82.5,87.1590957641602,0.1,-17.7844794094562,1248.89076666931,-4.03635243574778,-32.0538647969564,-1.76722824573517,-32.0538647969564,209.731490135193,29.0396194458008,9.25827121734619,34.4522602145969,76.611629486084,31.3551635742187,70.8198699951172,31.3551635742187
86.25,87.1590957641602,0.1,-17.7779689927896,1249.03717430443,-4.02593576908111,-32.050609588623,-1.7607178290685,-32.050609588623,211.432676315308,29.0001754760742,9.32382106781006,34.2123246421972,76.7416191101074,31.6203470230102,70.4202537536621,31.6203470230102
