"Biome","Timeslice_younger","Timeslice_older","Site_number","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"SAVA",6.5,7,19,0.479348803934827,2.19598435645565,0.897806680610689,0.301251835308546,0.897806680610689,0.911148878827018,1.95376817800773,3.97349754559761,6.87222177659795,3.69083696994767,3.49072527064806,6.05886765733437,6.34728411812617,3.4243011407744
"SAVA",7,7.5,17,0.407347847138197,2.7447271186411,0.396330935932844,1.25177848614829,0.143089831338001,1.25177848614829,1.5907410784383,3.21525128569838,11.8197096269534,1.6586772251096,2.40669348742139,7.02812952060255,2.40669348742139,7.80100162595778
"SAVA",7.5,8,16,0.818555303816532,2.37104819608899,0.705339831869519,0.943130481537545,0.582658548611885,1.36541319544936,1.4364709636887,2.41246135301109,7.47218864423474,2.4009793195841,1.43671259237548,11.1193311079466,7.01743090556853,15.7537638668274
"SAVA",8,8.5,16,0.766859247205365,2.70331492415325,0.663704247172367,1.01961706806453,0.704405919731506,1.45642515454269,4.00992350328861,3.71562241555629,21.2093465167167,1.8766726754286,3.56507716512348,12.6440636059477,18.0093424604426,9.58101250969326
"SAVA",8.5,9,14,0.542949937135031,2.01455223414067,0.875989146510634,1.04994568989443,0.536069870401193,1.05606171822878,3.07807051362077,2.5883739616742,21.3642004106708,1.97512643479889,1.39496380318779,15.6491771526376,2.6809852655998,3.53855600196122
"SAVA",9,9.5,15,0.444830606795799,1.75492791447918,1.24333010786205,1.11994976633211,0.300150637509162,1.16574636711506,4.26613138551402,5.07532662782514,19.6748197720138,4.16756376218421,5.13794148912895,16.2771420397917,6.83578003485749,11.1551741060546
"SAVA",9.5,10,15,1.02775100774723,0.624768527880494,4.33682813675837,2.17701991423622,0.560068257063411,2.91312543608732,6.0796674949394,12.0074221335588,21.8804886194701,6.25966272034453,5.18223895667957,18.3359248850551,9.95882685732178,10.7875096660153
"SAVA",10,10.5,16,0.248925700470039,1.01292134151115,0.93639833987065,0.559978455039585,0.350171539426178,0.854238317578717,0.651747069681275,3.05767493406892,16.8798799530074,2.59892660913378,4.25292667829793,8.4683349741691,5.71550014948937,6.06847559330707
"SAVA",10.5,11,17,0.680210803149346,1.42501763134054,0.516254369462918,0.648778216599142,0.485788910118647,0.783168501568078,2.65643684071637,2.76637684631791,16.6372881465046,1.5307187324702,2.97270503007133,11.4923822465338,10.2536475301631,5.07136398863308
"SAVA",11,11.5,17,1.20300265901349,8.01550025879369,3.2073812302327,9.04492765690732,1.52688232548584,2.23456834246265,13.9381357369693,6.76271695284842,42.7075145617989,8.29387621938371,7.24804243365074,60.9871453835369,23.8529680211318,39.7501175364445
"SAVA",11.5,12,14,3.75972424895252,9.37729595855903,4.18930514065909,6.35917574496808,3.59550162202136,6.20433695409722,14.2633443743478,17.1740979761899,28.8276688108265,5.4372048291075,12.4095138320185,19.1809862785134,42.361349061049,44.4966614125247
"SAVA",12,12.5,14,1.11131742397321,2.73851480046155,1.66420774504141,0.985345667185664,0.669734543222805,1.65575109086708,3.51014169525864,5.30460525504212,21.68727895811,3.56389874915411,2.90002639048523,18.6264588377924,11.3462515152523,14.6576369174075
