"Biome","Timeslice","Site_number","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Northern Hemisphere",6.5,1881,4.62351612049589,867.003379380064,10.6368874415723,0.685893128007647,15.9106936722173,-5.7464470555938,881.756670926415,135.831058326636,28.6288872263688,50.6885748129386,373.248217192689,98.687629954571,286.290577678505,138.714149834412
"Northern Hemisphere",7,1835,4.94209295066472,871.767947360545,11.0297712000615,1.33187979995325,16.1997050329943,-5.66014882891705,892.880185397171,139.887409689399,30.0706400701738,50.7541905593633,369.540018395841,103.775138596292,301.378939961143,135.926300128882
"Northern Hemisphere",7.5,1779,4.79725951025312,873.08181991446,10.7043730879539,0.530233762332287,16.2294937337398,-5.92596465253044,930.090646593649,144.408862121541,29.5073457909854,52.3070180629558,388.132633285218,104.955030721111,309.743241285904,139.05750101189
"Northern Hemisphere",8,1707,4.87161383417442,898.104859924047,10.6438613157917,1.08159171847854,16.4322289628574,-5.86503298021929,870.430294103248,140.239979564339,27.6544497283904,53.5523618970808,373.368512197151,94.9510679233844,292.173205070433,131.384206883083
"Northern Hemisphere",8.5,1655,5.00300197403456,924.196525331297,11.2455158157542,-0.195103103056244,16.79454800997,-5.83217915368326,866.662547810402,136.493198674381,27.1651422971149,56.0138627163424,367.220013668979,93.6445094080065,281.427452234348,126.606730158869
"Northern Hemisphere",9,1632,4.97491682572127,927.733272327914,11.0426178006752,0.956053101096019,16.827720516473,-6.01812595206067,910.260508600078,141.970412370678,28.3715174794423,55.4970228384346,374.868661268951,96.2875201780794,285.682802651072,132.390824901449
"Northern Hemisphere",9.5,1507,4.80400192216863,907.722003832473,11.2312679585787,0.56381567523993,16.6074228799443,-5.92306522098243,872.779767400935,138.878636573469,26.6014731980518,57.3740656956734,380.213189859154,93.7635795678307,288.179835574058,132.877250879217
"Northern Hemisphere",10,1447,4.26731312545216,914.128904206241,11.2775316744643,-0.138518203897765,16.2648927634148,-6.36086316070172,857.42543115342,135.679210411406,24.9627999591606,56.4381488286382,364.508436565037,90.1258454124793,289.483212475655,118.101154801751
"Northern Hemisphere",10.5,1374,3.87941811472368,907.269813371462,9.71647525018554,-1.02530272309853,15.6244905242684,-6.95392258791062,864.879358687172,140.508307181861,25.8175572179511,57.708210834152,377.35014529385,90.0016468880443,296.243598793691,120.035162042694
"Northern Hemisphere",11,1281,3.77040944152833,920.076376251786,9.71048675435887,0.583974400550488,15.9102595366206,-6.38998872678733,854.618149055968,134.879160103778,26.0735206552235,57.218445148027,363.502429620776,90.2053035608646,279.134621929493,124.821319875997
"Northern Hemisphere",11.5,1230,2.16059151596411,960.669573082864,8.55273909286742,-2.56217355385653,14.7984982963981,-8.08047913864463,816.405429135815,130.793700816665,22.0084503050553,59.5843267922182,358.596813744146,75.1899335409957,258.280842041996,115.038113778309
"Northern Hemisphere",12,1108,0.853652679266637,980.832008852835,8.33752694949409,-2.54193519528965,14.0893578512182,-10.4714612941833,780.229504995862,124.551885547228,18.4068380117721,61.1513963133958,338.661766415399,64.9207214509903,220.830672953385,92.8950456605272
"Northern Hemisphere",12.5,1008,0.553071762295855,1022.54536563514,8.09331282767211,-2.89434219896469,14.2415544501101,-10.9765353568015,744.454070047017,118.616198786425,18.6030779597376,59.6014059719157,321.797644328767,67.1400999297292,213.568923658745,95.5373930125779
