"Timeslice","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
8.5,0.0408272443904837,0.0992589901272996,0.0332446942565171,0.06814942971959,0.122723415970487,0.054559436636602,0.110418737287425,0.0770152745577553,5.6326800379115e-08,0.0652480000459499,0.108154967002874,0.0359130600892811,0.0067833717576087,0.0535849417982123
9,0.0816657848555679,0.0449298089863294,0.0426308499986881,0.152156318785824,0.0685132819507447,0.14829748584542,0.108062245645728,0.131955947063735,3.94400737196064e-08,0.109448855355739,0.127888186067542,0.0405822667137692,0.00637044036020493,0.120094872522821
9.5,0.174601164734216,0.0550798501030092,0.108755643396795,0.262075116568799,0.198197595342019,0.233660296479415,0.113044370126092,0.144415443640214,6.39039903170154e-08,0.168006847513799,0.107454592107671,0.0448919986389592,0.00552151086602156,0.136982955870917
10,0.0682102560142997,0.0950220529168738,0.0605736373244385,0.122561329119866,0.129704617600519,0.130859027942014,0.0750188125217999,0.152641879443981,6.41523844114774e-08,0.19859741262276,0.174291119325866,0.033184344885782,0.00505360483377653,0.124497985099181
10.5,0.0269472866707226,0.0701108890775805,0.142797606982703,0.141895720887414,0.0770918267176235,0.0812918920064948,0.116973223477074,0.185215896020506,4.69893861602351e-08,0.115769494300832,0.115266818502939,0.0436063946756541,0.00667299959646793,0.109510301275382
11,0.689011562539544,0.449424414550042,0.547064568385407,0.746211808280654,0.777566292741041,0.718030087784226,0.471642889403271,0.424098172109725,1.94838741598238e-07,0.514740671807645,0.492676274594696,0.139431301692404,0.0124291246683122,0.44963348446478
11.5,0.58623766381296,0.527461277160165,0.663327035916617,0.57707135402959,0.756523876641726,0.682382351086049,0.561140002673639,0.607882638587996,2.02968718928197e-07,0.334930833930618,0.668357485834739,0.161524987263963,0.0266491684299317,0.707742206116616
12,0.128955318901216,0.172120409559903,0.207277410745471,0.0652060445343319,0.0626795877347072,0.125922547515971,0.108722160713858,0.190873952483428,5.50633861378708e-08,0.117119829273537,0.190776265994724,0.0246311835333839,0.00494087912595333,0.11097785943304
12.5,1,1,1,1,1,1,1,1,3.87003174051426e-07,1,1,0.281564129424302,0.0348017689677946,1
13,0.0594289998010249,0.0281252394700478,0.05561759121697,0.159180322232641,0.126545276847025,0.0497043655351277,0.0859080170220413,0.207062658057987,8.56688583854227e-08,0.167732472302947,0.188267096785927,0.0542742875465503,0.00749250682062867,0.0751341537391196
