"Timeslice_younger","BIO","Value","Source"
"13","BIO1",0.623734810094775,"Tnon-growing state"
"13","BIO9",0.457839204091174,"Tnon-growing state"
"13","BIO11",0.584762264002428,"Tnon-growing state"
"13.5","BIO1",0.608846546833665,"Tnon-growing state"
"13.5","BIO9",0.482550744688751,"Tnon-growing state"
"13.5","BIO11",0.581033548753222,"Tnon-growing state"
"14","BIO1",0.518569761541385,"Tnon-growing state"
"14","BIO9",0.427526871083499,"Tnon-growing state"
"14","BIO11",0.463850212119307,"Tnon-growing state"
"14.5","BIO1",0.422063295162828,"Tnon-growing state"
"14.5","BIO9",0.431237881090923,"Tnon-growing state"
"14.5","BIO11",0.353141377685666,"Tnon-growing state"
"15","BIO1",0.370791269069264,"Tnon-growing state"
"15","BIO9",0.270230675664718,"Tnon-growing state"
"15","BIO11",0.314570561981229,"Tnon-growing state"
"15.5","BIO1",0.259926849244386,"Tnon-growing state"
"15.5","BIO9",0.134448484305221,"Tnon-growing state"
"15.5","BIO11",0.201543262082247,"Tnon-growing state"
"16","BIO1",0.269328861096512,"Tnon-growing state"
"16","BIO9",0.236682480831572,"Tnon-growing state"
"16","BIO11",0.228485297235705,"Tnon-growing state"
"16.5","BIO1",0.185539602604465,"Tnon-growing state"
"16.5","BIO9",0.11289204358651,"Tnon-growing state"
"16.5","BIO11",0.131559720223855,"Tnon-growing state"
"17","BIO1",0.241307616744888,"Tnon-growing state"
"17","BIO9",0.173178413104397,"Tnon-growing state"
"17","BIO11",0.179017574336395,"Tnon-growing state"
"17.5","BIO1",0.118801877700612,"Tnon-growing state"
"17.5","BIO9",0.211195590461281,"Tnon-growing state"
"17.5","BIO11",0.0731169499312516,"Tnon-growing state"
"18","BIO1",0.0690665998438211,"Tnon-growing state"
"18","BIO9",0.209778318922079,"Tnon-growing state"
"18","BIO11",0.0693951695928346,"Tnon-growing state"
"18.5","BIO1",0.0497100228453203,"Tnon-growing state"
"18.5","BIO9",0.0819619807785208,"Tnon-growing state"
"18.5","BIO11",0,"Tnon-growing state"
"19","BIO1",0.0860039398579921,"Tnon-growing state"
"19","BIO9",0.0410476786829885,"Tnon-growing state"
"19","BIO11",0.0457334991495613,"Tnon-growing state"
"19.5","BIO1",0.013216405976729,"Tnon-growing state"
"19.5","BIO9",0.0214198879696921,"Tnon-growing state"
"19.5","BIO11",0.0498955423219274,"Tnon-growing state"
"20","BIO1",0.00259796401690714,"Tnon-growing state"
"20","BIO9",0,"Tnon-growing state"
"20","BIO11",0.0617850606872749,"Tnon-growing state"
"20.5","BIO1",0,"Tnon-growing state"
"20.5","BIO9",0.122624511941241,"Tnon-growing state"
"20.5","BIO11",0.0764502260380962,"Tnon-growing state"
"0","BIO12",0.636604376099588,"Pgrowing state"
"0","BIO13",0.246567235089781,"Pgrowing state"
"0","BIO16",0.286559379853157,"Pgrowing state"
"0","BIO18",0.162387326177855,"Pgrowing state"
"0.5","BIO12",0.677207072445754,"Pgrowing state"
"0.5","BIO13",0.338232986086165,"Pgrowing state"
"0.5","BIO16",0.334430777921607,"Pgrowing state"
"0.5","BIO18",0.214417862193088,"Pgrowing state"
"1","BIO12",0.73939096000727,"Pgrowing state"
"1","BIO13",0.40702866774177,"Pgrowing state"
"1","BIO16",0.377566874101354,"Pgrowing state"
"1","BIO18",0.316024325301631,"Pgrowing state"
"1.5","BIO12",0.750360229348359,"Pgrowing state"
"1.5","BIO13",0.40683606409191,"Pgrowing state"
"1.5","BIO16",0.421228112739345,"Pgrowing state"
"1.5","BIO18",0.316931512831301,"Pgrowing state"
"2","BIO12",0.736913074367154,"Pgrowing state"
"2","BIO13",0.469043016284499,"Pgrowing state"
"2","BIO16",0.46128055784644,"Pgrowing state"
"2","BIO18",0.457314745029906,"Pgrowing state"
"2.5","BIO12",0.784414298272764,"Pgrowing state"
"2.5","BIO13",0.513303216063333,"Pgrowing state"
"2.5","BIO16",0.585257393943957,"Pgrowing state"
"2.5","BIO18",0.564407065785568,"Pgrowing state"
"3","BIO12",0.794657637014059,"Pgrowing state"
"3","BIO13",0.557663583281774,"Pgrowing state"
"3","BIO16",0.582578270244122,"Pgrowing state"
"3","BIO18",0.558224462957637,"Pgrowing state"
"3.5","BIO12",0.727023308697328,"Pgrowing state"
"3.5","BIO13",0.589084661085125,"Pgrowing state"
"3.5","BIO16",0.612846665642866,"Pgrowing state"
"3.5","BIO18",0.627768640281299,"Pgrowing state"
"4","BIO12",0.625200669322738,"Pgrowing state"
"4","BIO13",0.600929841469074,"Pgrowing state"
"4","BIO16",0.545536850193214,"Pgrowing state"
"4","BIO18",0.641132089539806,"Pgrowing state"
"4.5","BIO12",0.752063348260994,"Pgrowing state"
"4.5","BIO13",0.697569415333373,"Pgrowing state"
"4.5","BIO16",0.682609607673874,"Pgrowing state"
"4.5","BIO18",0.738027407650891,"Pgrowing state"
"5","BIO12",0.822497436124642,"Pgrowing state"
"5","BIO13",0.739734106921739,"Pgrowing state"
"5","BIO16",0.707470665383835,"Pgrowing state"
"5","BIO18",0.77029772548161,"Pgrowing state"
"5.5","BIO12",0.840214167445546,"Pgrowing state"
"5.5","BIO13",0.708819634728044,"Pgrowing state"
"5.5","BIO16",0.753284341935665,"Pgrowing state"
"5.5","BIO18",0.798440017614664,"Pgrowing state"
"6","BIO12",0.839256974686768,"Pgrowing state"
"6","BIO13",0.767034878066692,"Pgrowing state"
"6","BIO16",0.852728592783982,"Pgrowing state"
"6","BIO18",0.814854515888479,"Pgrowing state"
"6.5","BIO12",0.907702148624409,"Pgrowing state"
"6.5","BIO13",0.841612721672372,"Pgrowing state"
"6.5","BIO16",0.880129185553083,"Pgrowing state"
"6.5","BIO18",0.860577596999073,"Pgrowing state"
"7","BIO12",1,"Pgrowing state"
"7","BIO13",0.963551574884055,"Pgrowing state"
"7","BIO16",0.985956930233867,"Pgrowing state"
"7","BIO18",1,"Pgrowing state"
"7.5","BIO12",0.961413261484692,"Pgrowing state"
"7.5","BIO13",1,"Pgrowing state"
"7.5","BIO16",0.971737819957064,"Pgrowing state"
"7.5","BIO18",0.90022097526729,"Pgrowing state"
"8","BIO12",0.735541769913607,"Pgrowing state"
"8","BIO13",0.855409157327103,"Pgrowing state"
"8","BIO16",0.864029745027548,"Pgrowing state"
"8","BIO18",0.81675041396506,"Pgrowing state"
"8.5","BIO12",0.875161605537685,"Pgrowing state"
"8.5","BIO13",0.869539915719013,"Pgrowing state"
"8.5","BIO16",0.885279174414277,"Pgrowing state"
"8.5","BIO18",0.787770339844986,"Pgrowing state"
"9","BIO12",0.927021790105396,"Pgrowing state"
"9","BIO13",0.917431335077818,"Pgrowing state"
"9","BIO16",1,"Pgrowing state"
"9","BIO18",0.798637528581536,"Pgrowing state"
"9.5","BIO12",0.753727224247083,"Pgrowing state"
"9.5","BIO13",0.828230922539845,"Pgrowing state"
"9.5","BIO16",0.969698018384061,"Pgrowing state"
"9.5","BIO18",0.859186722151497,"Pgrowing state"
"10","BIO12",0.708337289965793,"Pgrowing state"
"10","BIO13",0.905869912110818,"Pgrowing state"
"10","BIO16",0.909195051116812,"Pgrowing state"
"10","BIO18",0.838923158700905,"Pgrowing state"
"10.5","BIO12",0.767119587070411,"Pgrowing state"
"10.5","BIO13",0.822642233175664,"Pgrowing state"
"10.5","BIO16",0.880101471571695,"Pgrowing state"
"10.5","BIO18",0.773900534003669,"Pgrowing state"
"11","BIO12",0.674596297059916,"Pgrowing state"
"11","BIO13",0.737708354758337,"Pgrowing state"
"11","BIO16",0.749963873467212,"Pgrowing state"
"11","BIO18",0.617960452424407,"Pgrowing state"
"11.5","BIO12",0.482114489773958,"Pgrowing state"
"11.5","BIO13",0.517362712452075,"Pgrowing state"
"11.5","BIO16",0.585335419056924,"Pgrowing state"
"11.5","BIO18",0.392381949088343,"Pgrowing state"
"12","BIO12",0.270548585998278,"Pgrowing state"
"12","BIO13",0.336759820772457,"Pgrowing state"
"12","BIO16",0.382404864764361,"Pgrowing state"
"12","BIO18",0,"Pgrowing state"
"12.5","BIO12",0.30484834726108,"Pgrowing state"
"12.5","BIO13",0.368413001496436,"Pgrowing state"
"12.5","BIO16",0.450103885722348,"Pgrowing state"
"12.5","BIO18",0.254012012720715,"Pgrowing state"
"13","BIO12",0.636064231019448,"Pgrowing state"
"13","BIO13",0.617313286582828,"Pgrowing state"
"13","BIO16",0.743798077895044,"Pgrowing state"
"13","BIO18",0.641683146948741,"Pgrowing state"
"13.5","BIO12",0.631207102570035,"Pgrowing state"
"13.5","BIO13",0.580526910651911,"Pgrowing state"
"13.5","BIO16",0.704180067021079,"Pgrowing state"
"13.5","BIO18",0.696133081864651,"Pgrowing state"
"14","BIO12",0.406990111611816,"Pgrowing state"
"14","BIO13",0.418706656636359,"Pgrowing state"
"14","BIO16",0.473131039461071,"Pgrowing state"
"14","BIO18",0.39826799965509,"Pgrowing state"
"14.5","BIO12",0.311794228560766,"Pgrowing state"
"14.5","BIO13",0.338854626011111,"Pgrowing state"
"14.5","BIO16",0.378134565542722,"Pgrowing state"
"14.5","BIO18",0.267441694392892,"Pgrowing state"
"15","BIO12",0.319114967800086,"Pgrowing state"
"15","BIO13",0.256412496749179,"Pgrowing state"
"15","BIO16",0.23381037568569,"Pgrowing state"
"15","BIO18",0.318606635260136,"Pgrowing state"
"15.5","BIO12",0.413518835522838,"Pgrowing state"
"15.5","BIO13",0.268220209134244,"Pgrowing state"
"15.5","BIO16",0.255162645820922,"Pgrowing state"
"15.5","BIO18",0.361907373877772,"Pgrowing state"
"16","BIO12",0.347310219201359,"Pgrowing state"
"16","BIO13",0.181322815267412,"Pgrowing state"
"16","BIO16",0.160177369645839,"Pgrowing state"
"16","BIO18",0.455599991569923,"Pgrowing state"
"16.5","BIO12",0.286045736404753,"Pgrowing state"
"16.5","BIO13",0.0551624681120063,"Pgrowing state"
"16.5","BIO16",0.0511340503639614,"Pgrowing state"
"16.5","BIO18",0.384453137338139,"Pgrowing state"
"17","BIO12",0.275338870960405,"Pgrowing state"
"17","BIO13",0,"Pgrowing state"
"17","BIO16",0.0157322131586987,"Pgrowing state"
"17","BIO18",0.364990983695053,"Pgrowing state"
"17.5","BIO12",0.184599295104552,"Pgrowing state"
"17.5","BIO13",0.161529706969934,"Pgrowing state"
"17.5","BIO16",0.0689396556221465,"Pgrowing state"
"17.5","BIO18",0.362888917952764,"Pgrowing state"
"18","BIO12",0,"Pgrowing state"
"18","BIO13",0.165682602244739,"Pgrowing state"
"18","BIO16",0.0386088399734641,"Pgrowing state"
"18","BIO18",0.23286350192003,"Pgrowing state"
"18.5","BIO12",0.156073127125688,"Pgrowing state"
"18.5","BIO13",0.106308641382481,"Pgrowing state"
"18.5","BIO16",0,"Pgrowing state"
"18.5","BIO18",0.337995063933156,"Pgrowing state"
"19","BIO12",0.326078329654314,"Pgrowing state"
"19","BIO13",0.180510282746572,"Pgrowing state"
"19","BIO16",0.0227861475245778,"Pgrowing state"
"19","BIO18",0.434904821133929,"Pgrowing state"
"19.5","BIO12",0.586339469157202,"Pgrowing state"
"19.5","BIO13",0.236549907888231,"Pgrowing state"
"19.5","BIO16",0.129737628979236,"Pgrowing state"
"19.5","BIO18",0.487965190516674,"Pgrowing state"
"20","BIO12",0.533659813013842,"Pgrowing state"
"20","BIO13",0.166768406553536,"Pgrowing state"
"20","BIO16",0.136436950136834,"Pgrowing state"
"20","BIO18",0.452161910163007,"Pgrowing state"
"20.5","BIO12",0.0911346979377036,"Pgrowing state"
"20.5","BIO13",0.0791594577028618,"Pgrowing state"
"20.5","BIO16",0.0670825547456246,"Pgrowing state"
"20.5","BIO18",0.362355833066352,"Pgrowing state"
"0","BIO14",0.955187092375232,"Pnon-growing state"
"0","BIO17",0.929028100115311,"Pnon-growing state"
"0","BIO19",1,"Pnon-growing state"
"0.5","BIO14",0.978248650737957,"Pnon-growing state"
"0.5","BIO17",0.93169180921517,"Pnon-growing state"
"0.5","BIO19",0.957481890634503,"Pnon-growing state"
"1","BIO14",1,"Pnon-growing state"
"1","BIO17",0.920099618741586,"Pnon-growing state"
"1","BIO19",0.904901068482559,"Pnon-growing state"
"1.5","BIO14",0.9716127781604,"Pnon-growing state"
