"Longitude","Latitude","Timeslice_younger","Timeslice_older","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
101.25,79.7770462036133,-0.2,0.1,78.3127665403053,39.1352565338074,640.601495833535,59.0976589877082,968.425085253397,57.2747317106152,53.961107802413,39.694951835677,127.17898247698,28.1601975660181,45.2779953448842,105.402287362538,30.4227202387281,115.316904180971
101.25,79.7770462036133,-0.3,0.1,133.548405938027,50.7346665486258,1161.28919500439,133.155324814916,2176.10418242852,93.6638584192203,112.347861960609,69.4257533797676,106.617386025255,22.6027049479628,89.7646091725339,134.767027180963,4.98902647286868,267.847528070028
-86.25,79.7770462036133,-0.1,0.1,17.8536829588738,6.21678910765678,48.0371056035526,10.091633081778,56.2437958398125,10.091633081778,7.03856385940684,0.327500543666783,11.9159043432459,2.25215806183085,4.8913885199973,4.94712405981011,0.988048989953648,4.94712405981011
-86.25,79.7770462036133,-0.2,0.1,75.3989095440774,33.4927454036441,216.211357263583,58.005496745936,285.372296805167,53.9012844826842,45.3028123651522,14.1730931987082,119.008590038826,32.2833503508113,28.5182055391383,104.1172741612,13.0161128761758,113.262199603032
-86.25,79.7770462036133,-0.3,0.1,129.500323056036,48.8834375589744,303.541704052173,121.85366617048,572.828209436108,90.8050425840237,116.057945476265,45.3599710233197,252.824278481396,50.2772336238002,70.3821059914976,243.507417790303,39.3331644321671,314.425712332847
-82.5,79.7770462036133,-0.1,0.1,17.033187657695,5.63684175035883,52.9584534172799,9.60934992453311,60.2699477136716,9.60934992453311,6.05236050975175,1.1702131660577,11.3015603467078,0.859403934710151,4.19659539805461,3.02884726294501,0.533159001405084,3.02884726294501
-82.5,79.7770462036133,-0.2,0.1,73.0788782147634,31.2329417636822,216.540935226411,56.5448335175607,297.030461803866,51.8342914068615,43.6003537322262,15.3424651809829,112.871548918762,30.7323805939915,26.9156486906125,99.5342114203431,13.5729975935861,107.488594172856
-82.5,79.7770462036133,-0.3,0.1,125.571127426243,46.5479094992283,286.135527815655,120.973904803809,576.797058277812,87.9078218132132,111.387944578681,41.0663944301273,264.128697224863,51.4204004832188,63.8367128251856,236.560377207606,33.897018200389,313.998334684607
-75,79.7770462036133,-0.1,0.1,14.8947495908548,4.57268781341859,85.4684274609457,8.53364488843777,87.9211886273663,8.53364488843777,5.05246541930311,5.87525334681999,7.87927436725306,0.00886213513452079,0.917754799944856,1.72300919271889,0.449001744834233,1.72300919271889
-75,79.7770462036133,-0.2,0.1,66.3913252091642,26.6618742818839,281.426348039677,52.6940086970675,415.044504277097,47.1181657783518,42.3800856600693,21.8434967711256,108.183529437252,30.9304717997402,22.7651711307961,97.0159991754265,13.63047964243,113.169045327413
-75,79.7770462036133,-0.3,0.1,113.677849820116,40.9894874948767,327.421704602562,116.699551851562,757.823143023998,80.1053731586644,104.644557123664,47.0979230278579,254.556532967626,52.0043227504214,53.460822013114,230.875362438884,32.8540067117532,324.9758789505
-71.25,79.7770462036133,-0.1,0.1,13.6210192259493,3.96302691349395,141.870383916892,7.90095887511814,137.370209182718,7.90095887511814,4.84399786293119,8.86223632065616,8.46920400295969,0.0737406004400588,0.809434070424395,1.25682058531972,0.775085745826231,1.25682058531972
-71.25,79.7770462036133,-0.2,0.1,62.220829280522,24.3344540268279,418.633528074352,50.1926510819952,637.745662429653,44.5102927400098,43.5995319211008,25.9856704668532,114.969131531904,30.195784223163,23.4309453485262,100.524461031709,17.0377326189125,116.57175904528
-71.25,79.7770462036133,-0.3,0.1,105.86853889616,37.8154626183683,456.250073584019,92.0658673345067,1128.88790494751,75.0726919610408,103.208743031603,51.2517756774832,255.745036691725,51.9277641765631,51.0186777951785,236.706547761907,33.4566436459501,324.556630151695
-67.5,79.7770462036133,-0.1,0.1,12.5299782240001,3.55066088783911,426.625409839218,7.43682900068149,426.625409839218,7.43682900068149,5.41302874927216,11.3279582167242,8.87224939518634,0.58561257289124,2.15658316251132,0.865651067979142,2.15658316251132,0.865651067979142
-67.5,79.7770462036133,-0.2,0.1,57.779940104463,22.1786856668514,1232.71617057675,47.5633862832931,1951.94020539074,41.9323256063709,45.4368977506318,30.8386921555469,120.486469956511,29.16097975876,25.4605479067863,102.491905977177,20.3089922947349,118.538358217835
-67.5,79.7770462036133,-0.3,0.1,97.6781250600816,34.8490252161388,1239.57079962015,87.65457859523,3358.55114227705,70.1912028534283,103.88365927819,55.9132691669978,261.605447329993,52.3676209809645,51.4936450536263,239.125113663827,35.70876964658,325.189136081202
-22.5,79.7770462036133,-0.1,0.1,13.9087591387487,3.58657853386538,59.3081906348872,9.04298535600273,262.066339438763,8.89845380533755,9.80441676160171,4.82152496273792,20.2259045126997,26.0623189311435,2.73160219480271,32.2057127107005,4.82811032180369,32.8929237817207
-22.5,79.7770462036133,-0.2,0.1,58.0698075081785,20.139260227123,68.1397639338738,35.5921427451404,1021.31696895931,41.6817800720244,62.61495102635,33.1337084216315,99.1975012335307,43.1081741565259,31.4610080850288,124.584792588279,7.42023826459567,113.366903341938
-22.5,79.7770462036133,-0.3,0.1,96.3902189189352,30.2944034671871,236.625328052843,65.0191619903417,1758.06860111274,68.3862242885285,103.455435293517,68.8204912331042,164.75682285658,46.0995280305119,62.800547386679,193.109156351739,14.530424658423,174.963814136877
-18.75,79.7770462036133,-0.1,0.1,16.261730681592,4.9151921922817,86.7459972197328,10.6864544850082,781.496790135176,10.6016482948499,10.077833332045,6.132704986154,21.69608130437,31.9025681741911,4.68642505854418,32.5388699480005,6.30710550069772,33.5926609586429
-18.75,79.7770462036133,-0.2,0.1,65.7351560662693,22.9858654858613,122.024007088636,41.4449870365905,3088.16353508711,46.6789654517175,61.2138920105777,53.1716610366115,99.6469463854713,36.4003902863837,37.5260997698728,118.978555250783,4.18085170281927,106.103136254285
-18.75,79.7770462036133,-0.3,0.1,107.477246710847,32.7971396293478,363.824635209739,71.7443508535703,5361.53209511272,74.4569724854423,98.6521143551945,88.9480837623029,157.250405517514,36.8770374716851,67.6848436433084,174.467278460418,15.1085995382575,157.480848078053
97.5,76.0702438354492,-0.1,0.1,20.8016736513185,8.38452837400307,38.7642213891487,13.9488012161395,38.7642213891487,14.3584199186618,13.0948289988659,8.73289464037125,44.8805476619395,14.9383531407155,5.29515963041684,35.4408768832475,5.29515963041684,39.4586089826269
97.5,76.0702438354492,-0.2,0.1,78.172617982181,26.0636895904477,24.0316835951006,57.0080695112793,176.588383720082,51.890056942029,63.8620320568828,29.2048094646348,170.575576201071,52.0297915386103,26.1683064889564,150.110704937911,5.080933518177,148.528109713168
97.5,76.0702438354492,-0.3,0.1,133.05222141541,31.1354196452032,57.1441312268389,84.5050963923576,358.539944255294,81.1372824302541,130.483813839822,73.5401924290205,283.804720950881,55.1259863309965,72.3425136818054,294.26866280822,10.4426533722022,326.23646019474
101.25,76.0702438354492,-0.1,0.1,20.0129317705825,7.94870902014224,38.865391390293,13.3475684800839,38.865391390293,13.7422413495124,11.8633674690587,8.3851606380651,43.116101874089,13.0094571438358,4.96150645211188,33.9190059782941,4.96150645211188,38.7219596529367
101.25,76.0702438354492,-0.2,0.1,76.6498188002977,25.6991722080283,18.6173145677831,48.8471806766614,177.318073577408,51.0794732947945,62.8596199780552,26.4062813545094,183.61711845794,52.9370546765363,23.51469669549,157.026259125135,3.3750056509972,153.282587404333
101.25,76.0702438354492,-0.3,0.1,130.941382239596,31.0263551354298,52.0646370922869,83.8477751092013,361.315750689525,80.4072036333236,131.235060687336,60.3516790114772,310.085986393543,59.6193350883234,67.2800225621603,325.529662432862,9.65114724495963,335.905896041388
105,76.0702438354492,-0.1,0.1,19.5256481678459,7.82837285569262,81.7512711209285,12.9794512651777,40.5239549653896,13.3606631471339,11.5310291280405,8.70514928606122,40.3310211887347,12.5277240162053,4.35440382886496,29.666720529347,4.88840592458051,33.4757158877784
105,76.0702438354492,-0.2,0.1,75.3601210243925,25.9102321253591,130.606414856981,55.5867369101373,186.391124376196,50.7118844734987,64.9096569534271,33.734905155249,167.745490533317,45.467668879836,36.5070948319196,147.512156824991,8.96651483312558,144.954636932817
