"Longitude","Latitude","Timeslice","BIO1","BIO4","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
-71.25,79.7770462036133,-0.1,-14.2567273974419,1280.80952664152,-0.424302220344544,-29.7233689626058,2.40544025103251,-29.7233689626058,356.28857421875,58.3533172607422,11.3263216018677,50.8080533508646,148.45650100708,36.4370975494385,148.405918121338,36.4370975494385
-67.5,79.7770462036133,-0.1,-14.7951388179014,1253.12585112791,1.7264037852486,-29.7279262542725,1.7264037852486,-29.7279262542725,362.951400756836,59.8582534790039,11.3435716629028,51.9227520976618,153.345462799072,36.5387306213379,153.345462799072,36.5387306213379
-22.5,79.7770462036133,-0.1,-15.3055554454525,1211.64275212571,-1.45490102966626,-25.852814356486,1.1241902410984,-28.6517543792725,382.061151504516,55.2695846557617,17.9741439819336,38.330462449387,148.247165679932,60.7471542358399,144.137954711914,65.0925693511963
-18.75,79.7770462036133,-0.1,-14.0900607332587,1196.57080901834,-0.33901576201121,-24.7245591481527,2.08057044943174,-27.3542283376058,404.684329986572,50.9918403625488,20.2456684112549,30.9740815196843,147.28409576416,69.8001308441162,136.323379516602,75.8259792327881
97.5,76.0702438354492,-0.1,-10.8174344996611,1264.51547521596,5.30713287989298,-25.2572231292725,5.30713287989298,-26.2628434499105,312.973181724548,44.4100151062012,13.5212554931641,41.8349090092451,124.597885131836,43.5459489822388,124.597885131836,45.6783561706543
101.25,76.0702438354492,-0.1,-11.2223836878935,1291.77797480827,5.30648183822632,-25.9284470876058,5.30648183822632,-26.9881038665772,300.974137306213,45.3698387145996,12.4398241043091,45.323020329575,124.437526702881,39.8446016311646,124.437526702881,41.8836622238159
105,76.0702438354492,-0.1,-11.5269084274769,1299.48542702926,3.41749465465546,-26.3711554209391,5.06429433822632,-27.4763851165772,255.021949768066,37.9720649719238,11.597110748291,39.2699851529576,98.2333793640137,36.6338720321656,95.0706024169922,38.1929836273194
108.75,76.0702438354492,-0.1,-11.8385946253935,1301.09520826316,-2.40493357181549,-26.7676397959391,4.71794017155965,-27.8696142832438,243.795316696167,37.0709838867188,11.016526222229,39.7068798556303,94.3752326965333,34.774995803833,85.9283962249756,36.0404253005982
-116.25,76.0702438354492,-0.1,-11.3029488623142,1243.05228073559,1.76254673798879,-27.5339158376058,3.37158600489298,-27.5339158376058,228.523381233215,33.9290199279785,10.1614570617676,37.1486790914701,88.34059715271,34.5425653457642,83.5153369903565,34.5425653457642
-112.5,76.0702438354492,-0.1,-11.3078316748142,1257.40803433726,1.90512486298879,-27.6966762542725,3.60726308822632,-27.6966762542725,233.967746734619,34.2518577575684,10.3472633361816,37.8164203743639,91.0451889038086,34.5619850158691,86.0883293151856,34.5619850158691
-86.25,76.0702438354492,-0.1,-10.7139189143976,1363.82901617325,3.89470819632212,-28.1296189626058,5.97835683822632,-28.1296189626058,291.15007686615,43.7088432312012,10.6271696090698,46.9972600040924,121.388572692871,35.0313129425048,116.895162582398,35.0313129425048
-82.5,76.0702438354492,-0.1,-10.4907743434111,1365.08909867442,4.20916148026784,-27.8021450042725,6.3637736638387,-27.8021450042725,294.096044540405,43.7980995178223,10.5401811599731,45.913983670461,121.433959960938,35.4827375411987,115.668792724609,35.4827375411987
-22.5,76.0702438354492,-0.1,-15.8442924221357,1091.90048941092,-2.89240097999573,-18.8986924489339,-1.03075766563416,-27.4434210459391,444.402898788452,64.3807754516602,22.1817607879639,38.7147050869723,179.15650177002,72.2484931945801,162.152030944824,79.0337886810303
52.5,72.3615798950195,-0.1,-5.22270802656809,864.862949645653,5.45622142155965,-15.6456661224365,5.55486440658569,-15.4584000905355,360.643424987793,44.0006675720215,18.1490325927734,30.4785446847166,123.839305877686,58.1373977661132,122.316795349121,60.0441341400146
56.25,72.3615798950195,-0.1,-6.24435385068258,933.472493069879,5.25278107325236,-17.7341976165772,5.41390371322632,-17.2487595876058,382.239294052124,46.761589050293,19.3086166381836,27.8098675565119,127.414043426514,61.4375343322754,121.356483459473,64.5099620819092
67.5,72.3615798950195,-0.1,-8.49337851007779,1097.54528223347,4.80095835526784,-21.1048793792725,5.4907267888387,-21.1048793792725,423.162145614624,51.6806106567383,21.9344825744629,29.5348425712602,150.13650894165,71.4591846466065,140.66911315918,71.4591846466065
71.25,72.3615798950195,-0.1,-8.80945923924446,1145.0080849748,4.96892710526784,-21.8529262542725,5.83512783050537,-23.0694840749105,416.122325897217,52.8851585388184,21.0052375793457,32.1228844726549,152.924648284912,68.4847602844238,142.31294631958,67.6809997558593
75,72.3615798950195,-0.1,-9.01665324966112,1186.06847553255,5.19939585526784,-22.4108689626058,6.23031012217204,-23.7127132415772,407.150276184082,52.6957778930664,19.7048377990723,34.4198211248326,153.839996337891,64.7599067687988,142.535892486572,64.7444725036621
78.75,72.3615798950195,-0.1,-9.16378866881132,1222.99323252027,5.43181772033374,-22.8509731292725,6.64762783050537,-24.2094580332438,399.878803253174,52.3044204711914,18.4549541473389,36.7547387214518,154.573036193848,60.9420604705811,143.396118164062,61.0116710662843
82.5,72.3615798950195,-0.1,-9.33533810824155,1258.89342926229,5.60629688700042,-23.2871710459391,7.04020595550539,-24.7062028249105,395.601322174072,54.4175758361816,17.516134262085,39.3570322208507,156.065052032471,57.6071605682373,146.285762786865,57.9067287445068
86.25,72.3615798950195,-0.1,-9.63449175360922,1297.12994626081,5.6857239721964,-23.8392543792725,7.35400803883872,-25.3240413665772,400.211694717407,58.8510780334473,16.7128849029541,42.9937970377823,161.401107788086,55.2029800415039,156.603343963623,55.6061077117919
90,72.3615798950195,-0.1,-10.0282104735573,1336.01098390178,7.59098720550539,-24.5104783376058,7.59098720550539,-26.0278174082438,410.042059898377,64.2619781494141,15.9340314865112,47.442475987458,170.403869628906,53.3085985183715,170.403869628906,53.5817403793334
