"Timeslice_younger","BIO","Value","Source"
"2.5","BIO12","0.0248995424836362","Pgrowing change"
"2.5","BIO13","0.0710403396269594","Pgrowing change"
"2.5","BIO16","0.0424530049705507","Pgrowing change"
"2.5","BIO18","0.0021895802395861","Pgrowing change"
"3","BIO12","0.0394495403874209","Pgrowing change"
"3","BIO13","0.0683116888005661","Pgrowing change"
"3","BIO16","0.0761975137699326","Pgrowing change"
"3","BIO18","0.00270787553126926","Pgrowing change"
"3.5","BIO12","0.0108206913917239","Pgrowing change"
"3.5","BIO13","0.093203009807588","Pgrowing change"
"3.5","BIO16","0.0777755554500263","Pgrowing change"
"3.5","BIO18","0.000540698468560375","Pgrowing change"
"4","BIO12","0.00215258328481141","Pgrowing change"
"4","BIO13","0.0734896208865506","Pgrowing change"
"4","BIO16","0.025186937090088","Pgrowing change"
"4","BIO18","0.00174141657576732","Pgrowing change"
"4.5","BIO12","0.0171947776189873","Pgrowing change"
"4.5","BIO13","0.106218072367808","Pgrowing change"
"4.5","BIO16","0.0694747561579767","Pgrowing change"
"4.5","BIO18","0.00163320963328245","Pgrowing change"
"5","BIO12","0.0503610399314715","Pgrowing change"
"5","BIO13","0.0911791262518054","Pgrowing change"
"5","BIO16","0.0954916725847106","Pgrowing change"
"5","BIO18","0.00184791931042521","Pgrowing change"
"5.5","BIO12","0.047626922318586","Pgrowing change"
"5.5","BIO13","0.0491822735631312","Pgrowing change"
"5.5","BIO16","0.0630588849594798","Pgrowing change"
"5.5","BIO18","0.00331519121435007","Pgrowing change"
"6","BIO12","0.0315293209790743","Pgrowing change"
"6","BIO13","0.0584214913172182","Pgrowing change"
"6","BIO16","0.0499807595851456","Pgrowing change"
"6","BIO18","0.00103783535375846","Pgrowing change"
"6.5","BIO12","0.0368042439609046","Pgrowing change"
"6.5","BIO13","0.0690273981002828","Pgrowing change"
"6.5","BIO16","0.0523926718609861","Pgrowing change"
"6.5","BIO18","0.00255291759133097","Pgrowing change"
"7","BIO12","0.0546479818732867","Pgrowing change"
"7","BIO13","0.0453470608461561","Pgrowing change"
"7","BIO16","0.0648789484647674","Pgrowing change"
"7","BIO18","0.00101901095203061","Pgrowing change"
