"Longitude","Latitude","Timeslice","Magnitude"
157.5,68.6520156860352,-0.3,2
161.25,68.6520156860352,-0.3,2
165,68.6520156860352,-0.3,2
168.75,68.6520156860352,-0.3,2
172.5,68.6520156860352,-0.3,2
176.25,68.6520156860352,-0.3,2
180,68.6520156860352,-0.3,2
-161.25,68.6520156860352,-0.3,2
-157.5,68.6520156860352,-0.3,2
-153.75,68.6520156860352,-0.3,2
-150,68.6520156860352,-0.3,2
-146.25,68.6520156860352,-0.3,2
-142.5,68.6520156860352,-0.3,2
-138.75,68.6520156860352,-0.3,2
-135,68.6520156860352,-0.3,1
-131.25,68.6520156860352,-0.3,1
-127.5,68.6520156860352,-0.3,1
-123.75,68.6520156860352,-0.3,1
-120,68.6520156860352,-0.3,1
-116.25,68.6520156860352,-0.3,1
-112.5,68.6520156860352,-0.3,1
-108.75,68.6520156860352,-0.3,1
-105,68.6520156860352,-0.3,1
-97.5,68.6520156860352,-0.3,2
-93.75,68.6520156860352,-0.3,2
-90,68.6520156860352,-0.3,2
-82.5,68.6520156860352,-0.3,2
-75,68.6520156860352,-0.3,2
-71.25,68.6520156860352,-0.3,1
-67.5,68.6520156860352,-0.3,1
-52.5,68.6520156860352,-0.3,1
15,64.9419479370117,-0.3,1
18.75,64.9419479370117,-0.3,1
22.5,64.9419479370117,-0.3,1
26.25,64.9419479370117,-0.3,1
30,64.9419479370117,-0.3,1
33.75,64.9419479370117,-0.3,1
41.25,64.9419479370117,-0.3,1
45,64.9419479370117,-0.3,1
48.75,64.9419479370117,-0.3,1
52.5,64.9419479370117,-0.3,1
56.25,64.9419479370117,-0.3,1
60,64.9419479370117,-0.3,1
63.75,64.9419479370117,-0.3,1
67.5,64.9419479370117,-0.3,1
71.25,64.9419479370117,-0.3,1
75,64.9419479370117,-0.3,1
78.75,64.9419479370117,-0.3,1
82.5,64.9419479370117,-0.3,1
86.25,64.9419479370117,-0.3,1
90,64.9419479370117,-0.3,1
93.75,64.9419479370117,-0.3,2
97.5,64.9419479370117,-0.3,2
101.25,64.9419479370117,-0.3,2
105,64.9419479370117,-0.3,2
108.75,64.9419479370117,-0.3,2
112.5,64.9419479370117,-0.3,1
116.25,64.9419479370117,-0.3,1
120,64.9419479370117,-0.3,1
123.75,64.9419479370117,-0.3,1
127.5,64.9419479370117,-0.3,1
131.25,64.9419479370117,-0.3,2
135,64.9419479370117,-0.3,2
138.75,64.9419479370117,-0.3,2
142.5,64.9419479370117,-0.3,2
146.25,64.9419479370117,-0.3,2
150,64.9419479370117,-0.3,2
153.75,64.9419479370117,-0.3,2
157.5,64.9419479370117,-0.3,2
161.25,64.9419479370117,-0.3,2
165,64.9419479370117,-0.3,2
168.75,64.9419479370117,-0.3,2
172.5,64.9419479370117,-0.3,2
176.25,64.9419479370117,-0.3,2
180,64.9419479370117,-0.3,2
-176.25,64.9419479370117,-0.3,2
-172.5,64.9419479370117,-0.3,2
-161.25,64.9419479370117,-0.3,2
-157.5,64.9419479370117,-0.3,2
-153.75,64.9419479370117,-0.3,2
-150,64.9419479370117,-0.3,2
-146.25,64.9419479370117,-0.3,2
-142.5,64.9419479370117,-0.3,2
-138.75,64.9419479370117,-0.3,2
-135,64.9419479370117,-0.3,2
-131.25,64.9419479370117,-0.3,2
-127.5,64.9419479370117,-0.3,1
-123.75,64.9419479370117,-0.3,1
-120,64.9419479370117,-0.3,1
-116.25,64.9419479370117,-0.3,1
-112.5,64.9419479370117,-0.3,1
-108.75,64.9419479370117,-0.3,1
-105,64.9419479370117,-0.3,1
-101.25,64.9419479370117,-0.3,1
-97.5,64.9419479370117,-0.3,1
-93.75,64.9419479370117,-0.3,1
-90,64.9419479370117,-0.3,1
-86.25,64.9419479370117,-0.3,2
-71.25,64.9419479370117,-0.3,2
-67.5,64.9419479370117,-0.3,2
-18.75,64.9419479370117,-0.3,3
7.5,61.231575012207,-0.3,1
11.25,61.231575012207,-0.3,1
15,61.231575012207,-0.3,1
22.5,61.231575012207,-0.3,1
26.25,61.231575012207,-0.3,1
30,61.231575012207,-0.3,1
33.75,61.231575012207,-0.3,1
37.5,61.231575012207,-0.3,1
41.25,61.231575012207,-0.3,1
45,61.231575012207,-0.3,1
48.75,61.231575012207,-0.3,1
52.5,61.231575012207,-0.3,1
56.25,61.231575012207,-0.3,1
60,61.231575012207,-0.3,1
63.75,61.231575012207,-0.3,1
67.5,61.231575012207,-0.3,1
71.25,61.231575012207,-0.3,1
75,61.231575012207,-0.3,1
78.75,61.231575012207,-0.3,1
82.5,61.231575012207,-0.3,1
86.25,61.231575012207,-0.3,1
90,61.231575012207,-0.3,1
93.75,61.231575012207,-0.3,1
97.5,61.231575012207,-0.3,1
101.25,61.231575012207,-0.3,1
105,61.231575012207,-0.3,1
108.75,61.231575012207,-0.3,1
112.5,61.231575012207,-0.3,1
116.25,61.231575012207,-0.3,1
120,61.231575012207,-0.3,1
123.75,61.231575012207,-0.3,1
127.5,61.231575012207,-0.3,1
131.25,61.231575012207,-0.3,2
135,61.231575012207,-0.3,2
138.75,61.231575012207,-0.3,2
142.5,61.231575012207,-0.3,2
146.25,61.231575012207,-0.3,2
150,61.231575012207,-0.3,2
157.5,61.231575012207,-0.3,2
161.25,61.231575012207,-0.3,2
165,61.231575012207,-0.3,2
168.75,61.231575012207,-0.3,1
172.5,61.231575012207,-0.3,1
-161.25,61.231575012207,-0.3,0
-157.5,61.231575012207,-0.3,2
-153.75,61.231575012207,-0.3,2
-150,61.231575012207,-0.3,2
-146.25,61.231575012207,-0.3,2
-142.5,61.231575012207,-0.3,2
-138.75,61.231575012207,-0.3,2
-135,61.231575012207,-0.3,2
-131.25,61.231575012207,-0.3,2
-127.5,61.231575012207,-0.3,2
-123.75,61.231575012207,-0.3,1
-120,61.231575012207,-0.3,1
-116.25,61.231575012207,-0.3,1
-112.5,61.231575012207,-0.3,1
-108.75,61.231575012207,-0.3,1
-105,61.231575012207,-0.3,1
-101.25,61.231575012207,-0.3,1
-97.5,61.231575012207,-0.3,1
-75,61.231575012207,-0.3,2
-71.25,61.231575012207,-0.3,2
15,57.5209922790527,-0.3,1
26.25,57.5209922790527,-0.3,1
30,57.5209922790527,-0.3,1
33.75,57.5209922790527,-0.3,1
37.5,57.5209922790527,-0.3,1
41.25,57.5209922790527,-0.3,1
45,57.5209922790527,-0.3,2
48.75,57.5209922790527,-0.3,3
52.5,57.5209922790527,-0.3,3
56.25,57.5209922790527,-0.3,1
60,57.5209922790527,-0.3,1
63.75,57.5209922790527,-0.3,1
67.5,57.5209922790527,-0.3,1
71.25,57.5209922790527,-0.3,3
75,57.5209922790527,-0.3,3
78.75,57.5209922790527,-0.3,3
82.5,57.5209922790527,-0.3,3
86.25,57.5209922790527,-0.3,1
90,57.5209922790527,-0.3,1
93.75,57.5209922790527,-0.3,1
97.5,57.5209922790527,-0.3,1
101.25,57.5209922790527,-0.3,1
105,57.5209922790527,-0.3,1
108.75,57.5209922790527,-0.3,1
112.5,57.5209922790527,-0.3,2
