"Longitude","Latitude","Timeslice","Biome"
75,53.8102722167969,0.1,3
78.75,53.8102722167969,0.1,3
82.5,53.8102722167969,0.1,4
86.25,53.8102722167969,0.1,4
90,53.8102722167969,0.1,4
93.75,53.8102722167969,0.1,8
97.5,53.8102722167969,0.1,8
101.25,53.8102722167969,0.1,8
105,53.8102722167969,0.1,6
108.75,53.8102722167969,0.1,6
112.5,53.8102722167969,0.1,6
116.25,53.8102722167969,0.1,4
120,53.8102722167969,0.1,4
123.75,53.8102722167969,0.1,4
127.5,53.8102722167969,0.1,4
131.25,53.8102722167969,0.1,4
135,53.8102722167969,0.1,4
138.75,53.8102722167969,0.1,8
157.5,53.8102722167969,0.1,6
-127.5,53.8102722167969,0.1,4
-123.75,53.8102722167969,0.1,6
-120,53.8102722167969,0.1,6
-116.25,53.8102722167969,0.1,4
-112.5,53.8102722167969,0.1,4
-108.75,53.8102722167969,0.1,3
-105,53.8102722167969,0.1,3
-101.25,53.8102722167969,0.1,3
-97.5,53.8102722167969,0.1,3
-93.75,53.8102722167969,0.1,3
-90,53.8102722167969,0.1,3
-86.25,53.8102722167969,0.1,4
-82.5,53.8102722167969,0.1,4
-75,53.8102722167969,0.1,4
-71.25,53.8102722167969,0.1,4
-67.5,53.8102722167969,0.1,4
-63.75,53.8102722167969,0.1,4
-60,53.8102722167969,0.1,4
-7.5,53.8102722167969,0.1,3
-3.75,53.8102722167969,0.1,3
0,50.0994529724121,0.1,3
3.75,50.0994529724121,0.1,3
7.5,50.0994529724121,0.1,3
11.25,50.0994529724121,0.1,3
15,50.0994529724121,0.1,3
18.75,50.0994529724121,0.1,3
22.5,50.0994529724121,0.1,3
26.25,50.0994529724121,0.1,3
30,50.0994529724121,0.1,3
33.75,50.0994529724121,0.1,6
37.5,50.0994529724121,0.1,6
41.25,50.0994529724121,0.1,6
45,50.0994529724121,0.1,3
48.75,50.0994529724121,0.1,3
52.5,50.0994529724121,0.1,6
56.25,50.0994529724121,0.1,6
60,50.0994529724121,0.1,6
63.75,50.0994529724121,0.1,3
67.5,50.0994529724121,0.1,6
71.25,50.0994529724121,0.1,6
75,50.0994529724121,0.1,3
78.75,50.0994529724121,0.1,3
82.5,50.0994529724121,0.1,3
86.25,50.0994529724121,0.1,6
90,50.0994529724121,0.1,4
93.75,50.0994529724121,0.1,4
97.5,50.0994529724121,0.1,4
101.25,50.0994529724121,0.1,4
105,50.0994529724121,0.1,6
108.75,50.0994529724121,0.1,4
112.5,50.0994529724121,0.1,4
116.25,50.0994529724121,0.1,4
120,50.0994529724121,0.1,4
123.75,50.0994529724121,0.1,4
127.5,50.0994529724121,0.1,4
131.25,50.0994529724121,0.1,4
135,50.0994529724121,0.1,4
138.75,50.0994529724121,0.1,4
-123.75,50.0994529724121,0.1,4
-120,50.0994529724121,0.1,6
-116.25,50.0994529724121,0.1,6
-112.5,50.0994529724121,0.1,4
-108.75,50.0994529724121,0.1,4
-105,50.0994529724121,0.1,3
-101.25,50.0994529724121,0.1,3
-97.5,50.0994529724121,0.1,3
-93.75,50.0994529724121,0.1,3
-90,50.0994529724121,0.1,3
-86.25,50.0994529724121,0.1,3
-82.5,50.0994529724121,0.1,3
-78.75,50.0994529724121,0.1,3
-75,50.0994529724121,0.1,3
-71.25,50.0994529724121,0.1,4
-67.5,50.0994529724121,0.1,4
-3.75,50.0994529724121,0.1,3
0,46.388557434082,0.1,3
3.75,46.388557434082,0.1,3
7.5,46.388557434082,0.1,3
11.25,46.388557434082,0.1,3
15,46.388557434082,0.1,3
18.75,46.388557434082,0.1,3
22.5,46.388557434082,0.1,3
26.25,46.388557434082,0.1,3
30,46.388557434082,0.1,6
33.75,46.388557434082,0.1,6
37.5,46.388557434082,0.1,3
41.25,46.388557434082,0.1,6
45,46.388557434082,0.1,3
56.25,46.388557434082,0.1,6
60,46.388557434082,0.1,6
63.75,46.388557434082,0.1,6
67.5,46.388557434082,0.1,3
71.25,46.388557434082,0.1,3
75,46.388557434082,0.1,3
78.75,46.388557434082,0.1,6
82.5,46.388557434082,0.1,7
86.25,46.388557434082,0.1,6
90,46.388557434082,0.1,6
93.75,46.388557434082,0.1,6
97.5,46.388557434082,0.1,8
101.25,46.388557434082,0.1,8
105,46.388557434082,0.1,6
108.75,46.388557434082,0.1,3
112.5,46.388557434082,0.1,3
116.25,46.388557434082,0.1,3
120,46.388557434082,0.1,3
123.75,46.388557434082,0.1,3
127.5,46.388557434082,0.1,3
131.25,46.388557434082,0.1,4
135,46.388557434082,0.1,4
-123.75,46.388557434082,0.1,3
-120,46.388557434082,0.1,4
-116.25,46.388557434082,0.1,4
-112.5,46.388557434082,0.1,4
-108.75,46.388557434082,0.1,3
-105,46.388557434082,0.1,3
-101.25,46.388557434082,0.1,3
-97.5,46.388557434082,0.1,3
-93.75,46.388557434082,0.1,3
-90,46.388557434082,0.1,3
-86.25,46.388557434082,0.1,3
-82.5,46.388557434082,0.1,3
-78.75,46.388557434082,0.1,3
-75,46.388557434082,0.1,3
-71.25,46.388557434082,0.1,3
-67.5,46.388557434082,0.1,3
-63.75,46.388557434082,0.1,3
0,42.677604675293,0.1,3
11.25,42.677604675293,0.1,6
15,42.677604675293,0.1,3
18.75,42.677604675293,0.1,6
22.5,42.677604675293,0.1,6
26.25,42.677604675293,0.1,6
41.25,42.677604675293,0.1,3
45,42.677604675293,0.1,6
52.5,42.677604675293,0.1,7
56.25,42.677604675293,0.1,7
60,42.677604675293,0.1,7
63.75,42.677604675293,0.1,6
67.5,42.677604675293,0.1,3
71.25,42.677604675293,0.1,3
75,42.677604675293,0.1,6
78.75,42.677604675293,0.1,7
82.5,42.677604675293,0.1,7
86.25,42.677604675293,0.1,7
90,42.677604675293,0.1,7
93.75,42.677604675293,0.1,8
97.5,42.677604675293,0.1,8
101.25,42.677604675293,0.1,7
105,42.677604675293,0.1,6
108.75,42.677604675293,0.1,3
112.5,42.677604675293,0.1,3
116.25,42.677604675293,0.1,3
120,42.677604675293,0.1,3
123.75,42.677604675293,0.1,3
127.5,42.677604675293,0.1,3
131.25,42.677604675293,0.1,3
-123.75,42.677604675293,0.1,3
